model,pr_auc,roc_auc,brier,pr_auc_mean,pr_auc_sd,roc_auc_mean,roc_auc_sd,t_f1,acc_f1,prec_f1,rec_f1,spec_f1,f1_at_t_f1,f2_at_t_f1,tn_f1,fp_f1,fn_f1,tp_f1
TabPFN,0.8553073565261072,0.9905198097986154,0.006423130442440356,0.8488337841684326,0.08605534051522548,0.9906492595600355,0.007000058070207621,0.19313131313131313,0.9926711668273867,0.78125,0.8152173913043478,0.9958766935008836,0.7978723404255319,0.8081896551724138,5072,21,17,75
LightGBM,0.6925888026613989,0.9680016902995586,0.009332755906540936,0.6935969781934397,0.09151100210967941,0.9694469359110235,0.016450729752015596,0.06444444444444444,0.9870781099324976,0.6262626262626263,0.6739130434782609,0.9927351266444139,0.6492146596858639,0.6638115631691649,5056,37,30,62
XGBoost,0.6814583732761209,0.9439319953217972,0.00884886073428024,0.6928273149261039,0.12879308745321705,0.9430640394798487,0.04177408940771203,0.20303030303030303,0.9884281581485053,0.6739130434782609,0.6739130434782609,0.9941095621441194,0.6739130434782609,0.6739130434782609,5063,30,30,62
TabPFN (local),0.675380003530127,0.9844821109963376,0.06728290436501937,0.6738900853353702,0.08117200684392875,0.9846414736466427,0.0029649680428243397,0.886060606060606,0.982642237222758,0.5066666666666667,0.8260869565217391,0.9854702532888278,0.628099173553719,0.7335907335907336,5019,74,16,76
CatBoost,0.6172346493169544,0.9593751867439538,0.010146826320530667,0.6353060485096552,0.05395464974433985,0.9612177145365255,0.01366070048798435,0.41585858585858587,0.9872709739633558,0.6805555555555556,0.532608695652174,0.9954839976438249,0.5975609756097561,0.5568181818181818,5070,23,43,49
Random Forest,0.4865160328741004,0.9208621808279053,0.01425126325940212,0.5034075818969159,0.07931030128846708,0.9205550237758466,0.04228503083003398,0.10404040404040403,0.982642237222758,0.5098039215686274,0.5652173913043478,0.9901826035735323,0.5360824742268041,0.5531914893617021,5043,50,40,52
Logistic Regression,0.3326347268706227,0.9224254944979895,0.056275215426523084,0.34512357031397445,0.12133818662001795,0.923471405624954,0.025133594964217316,0.9850505050505051,0.981870781099325,0.4857142857142857,0.3695652173913043,0.9929314745729433,0.41975308641975306,0.3881278538812785,5057,36,58,34
